2025-01-01,sup5,cat9,Зефир (230г.),8.79
2025-01-01,sup8,cat2,Картофель,0.94
2025-01-01,sup1,cat5,Говядина,23.13
2025-01-01,sup6,cat10,Сушки (500г.),3.99
2025-01-01,sup1,cat11,Колбаса вареная (400г.),4.98
2025-01-01,sup6,cat10,Батон нарезной (240г.),1.22
2025-01-01,sup6,cat10,Батон нарезной (240г.),1.22
2025-01-01,sup5,cat8,Масло подсолнечное (0.8л.),4.04
2025-01-01,sup5,cat8,Чай пак. (25шт.),3.80
2025-01-01,sup5,cat8,Мука (1кг.),1.64
2025-01-01,sup2,cat11,Колбаса вареная (400г.),4.98
2025-01-01,sup5,cat8,Макароны (900г.),1.49
2025-01-01,sup6,cat10,Батон нарезной (240г.),1.22
2025-01-01,sup1,cat6,Фарш,37.74
2025-01-01,sup12,cat12,Coca-Cola (1л.),3.07
2025-01-01,sup11,cat2,Томат,3.41
2025-01-01,sup5,cat9,Мармелад,5.42
2025-01-01,sup4,cat7,Кальмар,26.18
2025-01-01,sup5,cat8,Масло подсолнечное (0.8л.),2.02
2025-01-01,sup5,cat8,Мука (1кг.),1.64
2025-01-01,sup3,cat3,Сметана (180г.),1.94
2025-01-01,sup1,cat11,Сервелат (400г.),8.51
2025-01-01,sup6,cat10,Плетенка (450г.),4.04
2025-01-01,sup5,cat8,Рис (900г.),3.49
2025-01-01,sup8,cat2,Капуста,3.52
2025-01-01,sup2,cat4,Яйцо куриное С1 (10шт.),7.62
2025-01-01,sup12,cat12,Вода негаз. (0.5л.),1.98
2025-01-01,sup10,cat2,Морковь,0.35
2025-01-01,sup4,cat7,Кальмар,27.85
2025-01-01,sup5,cat12,Вода негаз. (0.5л.),0.99
2025-01-01,sup10,cat12,Сок яблочный (1л.),5.17
2025-01-01,sup2,cat11,Сосиски молочные,6.57
2025-01-01,sup8,cat2,Томат,2.16
2025-01-01,sup4,cat7,Кальмар,31.39
2025-01-01,sup8,cat2,Свекла,0.58
2025-01-01,sup6,cat10,Лаваш (300г.),2.89
2025-01-01,sup11,cat2,Томат,20.59
2025-01-01,sup3,cat3,Масло сливочное (180г.),9.18
2025-01-01,sup3,cat3,Молоко (1л.),2.60
2025-01-01,sup5,cat9,Карамель,5.29
2025-01-01,sup6,cat10,Батон нарезной (240г.),1.22
